voltage,labels,,,
-3.82E-17,short-circuit,,,
2.69E-17,short-circuit,,,
-3.30E-17,short-circuit,,,
-2.34E-17,short-circuit,,,
8.67E-19,short-circuit,,,
4.94E-17,short-circuit,,,
-2.52E-17,short-circuit,,,
1.99E-17,short-circuit,,,
3.47E-17,short-circuit,,,
1.13E-17,short-circuit,,,
2.78E-17,short-circuit,,,
-8.67E-18,short-circuit,,,
-1.39E-17,short-circuit,,,
-1.73E-17,short-circuit,,,
1.04E-17,short-circuit,,,
1.04E-17,short-circuit,,,
9.54E-18,short-circuit,,,
2.60E-17,short-circuit,,,
2.69E-17,short-circuit,,,
2.08E-17,short-circuit,,,
7.72E-17,short-circuit,,,
7.89E-17,short-circuit,,,
-3.99E-17,short-circuit,,,
2.17E-17,short-circuit,,,
-4.34E-18,short-circuit,,,
-6.94E-18,short-circuit,,,
2.08E-17,short-circuit,,,
4.68E-17,short-circuit,,,
5.46E-17,short-circuit,,,
-5.20E-17,short-circuit,,,
-1.39E-17,short-circuit,,,
-4.86E-17,short-circuit,,,
3.12E-17,short-circuit,,,
1.82E-17,short-circuit,,,
1.39E-17,short-circuit,,,
5.20E-18,short-circuit,,,
6.94E-18,short-circuit,,,
-7.81E-18,short-circuit,,,
1.47E-17,short-circuit,,,
-2.26E-17,short-circuit,,,
1.99E-17,short-circuit,,,
-4.34E-18,short-circuit,,,
-1.95E-17,short-circuit,,,
-1.95E-17,short-circuit,,,
3.47E-17,short-circuit,,,
2.82E-17,short-circuit,,,
-7.37E-18,short-circuit,,,
3.90E-18,short-circuit,,,
-1.30E-18,short-circuit,,,
1.26E-17,short-circuit,,,
8.67E-19,short-circuit,,,
4.34E-18,short-circuit,,,
-3.47E-18,short-circuit,,,
-4.34E-19,short-circuit,,,
-1.34E-17,short-circuit,,,
6.94E-18,short-circuit,,,
-2.73E-17,short-circuit,,,
2.04E-17,short-circuit,,,
-2.39E-17,short-circuit,,,
2.13E-17,short-circuit,,,
1.73E-17,short-circuit,,,
2.17E-17,short-circuit,,,
1.26E-17,short-circuit,,,
8.67E-18,short-circuit,,,
-9.54E-18,short-circuit,,,
1.91E-17,short-circuit,,,
-1.13E-17,short-circuit,,,
-8.67E-19,short-circuit,,,
-2.86E-17,short-circuit,,,
5.20E-18,short-circuit,,,
-1.04E-17,short-circuit,,,
2.34E-17,short-circuit,,,
2.78E-17,short-circuit,,,
-1.73E-18,short-circuit,,,
3.73E-17,short-circuit,,,
1.82E-17,short-circuit,,,
1.39E-17,short-circuit,,,
-1.21E-17,short-circuit,,,
-3.47E-18,short-circuit,,,
-8.67E-19,short-circuit,,,
-6.07E-18,short-circuit,,,
3.64E-17,short-circuit,,,
-6.94E-18,short-circuit,,,
-1.73E-18,short-circuit,,,
5.46E-17,short-circuit,,,
3.21E-17,short-circuit,,,
-2.69E-17,short-circuit,,,
2.78E-17,short-circuit,,,
5.46E-17,short-circuit,,,
5.20E-17,short-circuit,,,
5.46E-17,short-circuit,,,
3.47E-17,short-circuit,,,
1.56E-17,short-circuit,,,
1.65E-17,short-circuit,,,
-3.21E-17,short-circuit,,,
1.13E-17,short-circuit,,,
3.04E-17,short-circuit,,,
-5.46E-17,short-circuit,,,
9.54E-18,short-circuit,,,
2.43E-17,short-circuit,,,
3.12E-17,short-circuit,,,
-3.47E-18,short-circuit,,,
-1.13E-17,short-circuit,,,
-1.04E-17,short-circuit,,,
3.47E-17,short-circuit,,,
-1.39E-17,short-circuit,,,
1.65E-17,short-circuit,,,
-1.82E-17,short-circuit,,,
-7.81E-18,short-circuit,,,
-5.98E-17,short-circuit,,,
3.38E-17,short-circuit,,,
2.69E-17,short-circuit,,,
1.47E-17,short-circuit,,,
-3.47E-18,short-circuit,,,
-1.04E-17,short-circuit,,,
-1.39E-17,short-circuit,,,
-8.67E-18,short-circuit,,,
-3.90E-18,short-circuit,,,
3.47E-18,short-circuit,,,
1.95E-17,short-circuit,,,
-8.67E-19,short-circuit,,,
-6.94E-18,short-circuit,,,
3.17E-17,short-circuit,,,
1.30E-18,short-circuit,,,
-1.30E-18,short-circuit,,,
-5.20E-18,short-circuit,,,
-3.04E-18,short-circuit,,,
1.86E-17,short-circuit,,,
-1.73E-18,short-circuit,,,
-3.99E-17,short-circuit,,,
9.97E-18,short-circuit,,,
-3.90E-18,short-circuit,,,
-3.90E-18,short-circuit,,,
2.17E-17,short-circuit,,,
-2.39E-17,short-circuit,,,
2.56E-17,short-circuit,,,
-4.34E-18,short-circuit,,,
1.13E-17,short-circuit,,,
-2.60E-18,short-circuit,,,
1.91E-17,short-circuit,,,
2.34E-17,short-circuit,,,
-2.60E-18,short-circuit,,,
-8.67E-19,short-circuit,,,
3.04E-17,short-circuit,,,
4.77E-17,short-circuit,,,
-4.34E-18,short-circuit,,,
3.99E-17,short-circuit,,,
6.07E-18,short-circuit,,,
1.65E-17,short-circuit,,,
7.81E-18,short-circuit,,,
-5.20E-18,short-circuit,,,
0.00E+00,short-circuit,,,
-4.34E-18,short-circuit,,,
2.69E-17,short-circuit,,,
